City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lady frere,-31.7031,27.2329,9.96,39,97,2.87,ZA,1718917214
84,mermoz boabab,14.7065,-17.4758,26.88,78,40,5.14,SN,1718917215
85,wotho,10.1657,166.0102,28.22,81,18,7.44,MH,1718917216
86,bandarbeyla,9.4942,50.8122,26.31,82,48,13.74,SO,1718917218
87,badger,64.8,-147.5333,24.09,47,40,0.0,US,1718917219
88,inari,68.906,27.0288,10.11,88,100,1.56,FI,1718917221
89,pisco,-13.7,-76.2167,18.03,82,40,3.6,PE,1718917229
90,paradip garh,20.3167,86.6167,30.37,72,100,3.75,IN,1718917232
91,pitea,65.3172,21.4794,14.05,69,56,5.46,SE,1718917233
92,inhambane,-23.865,35.3833,20.7,75,0,4.19,MZ,1718917235
93,utrik,11.2278,169.8474,28.46,79,4,7.14,MH,1718917236
94,ribeira grande,38.5167,-28.7,21.22,68,20,2.24,PT,1718917237
95,dabakala,8.3667,-4.4333,25.56,81,26,3.06,CI,1718917238
96,tolanaro,-25.0319,46.9987,23.04,68,20,9.77,MG,1718917239
97,ust-nera,64.5667,143.2,21.8,44,99,1.81,RU,1718917240
98,kone,-21.0595,164.8658,19.83,67,1,1.36,NC,1718917241
99,qaqortoq,60.7167,-46.0333,2.92,91,100,4.87,GL,1718917243
100,yur'yevets,57.3201,43.1041,13.26,91,100,11.48,RU,1718917244
101,katsuren-haebaru,26.3369,127.8719,28.21,92,0,6.17,JP,1718917245
102,monroeville,40.4212,-79.7881,34.33,57,75,0.0,US,1718917034
103,itoman,26.1247,127.6694,28.21,100,20,5.66,JP,1718917247
104,kruisfontein,-34.0033,24.7314,11.05,65,78,3.11,ZA,1718917248
105,vorgashor,67.5833,63.95,0.32,88,59,4.08,RU,1718917249
106,manicore,-5.8092,-61.3003,32.12,47,61,0.84,BR,1718917251
107,nouadhibou,20.931,-17.0347,20.99,73,11,10.29,MR,1718917252
108,sinabang,2.4803,96.3801,26.46,84,100,2.63,ID,1718917253
109,tiksi,71.6872,128.8694,11.21,78,81,2.82,RU,1718917254
110,nantucket,41.2835,-70.0995,26.72,84,75,9.51,US,1718917255
111,nogliki,51.8333,143.1667,5.74,98,100,4.23,RU,1718917256
112,richards bay,-28.783,32.0377,17.75,82,36,1.84,ZA,1718917257
113,touros,-5.1989,-35.4608,25.59,81,42,4.85,BR,1718917258
